 "pm20" , "pm20Label" , "life" , "nationality" , "activities" , "locations" , "count" ,
 "http://purl.org/pressemappe20/folder/pe/007921" , "Hitler, Adolf" , "1889-1945" , "Austria" , "Staatsoberhaupt; Head of state; Politik; Politics" , "Deutschland; Germany" , "1173" ,
 "http://purl.org/pressemappe20/folder/pe/007921" , "Hitler, Adolf" , "1889-1945" , "Österreich" , "Staatsoberhaupt; Head of state; Politik; Politics" , "Deutschland; Germany" , "1173" ,
 "http://purl.org/pressemappe20/folder/pe/003274" , "Churchill, Winston" , "1874-1965" , "Großbritannien" , "Politik; Politics; Kultur; Culture" , "Großbritannien; United Kingdom" , "840" ,
 "http://purl.org/pressemappe20/folder/pe/003274" , "Churchill, Winston" , "1874-1965" , "United Kingdom" , "Politik; Politics; Kultur; Culture" , "Großbritannien; United Kingdom" , "840" ,
 "http://purl.org/pressemappe20/folder/pe/007861" , "Hindenburg, Paul von" , "1847-1934" , "Deutschland" , "Staatsoberhaupt; Head of state; Militär; Military" , "Deutschland; Germany" , "635" ,
 "http://purl.org/pressemappe20/folder/pe/007861" , "Hindenburg, Paul von" , "1847-1934" , "Germany" , "Staatsoberhaupt; Head of state; Militär; Military" , "Deutschland; Germany" , "635" ,
 "http://purl.org/pressemappe20/folder/pe/015430" , "Schacht, Hjalmar" , "1877-1970" , "Deutschland" , "Politik; Politics; Öffentliche Verwaltung; Public administration" , "Deutschland; Germany" , "588" ,
 "http://purl.org/pressemappe20/folder/pe/015430" , "Schacht, Hjalmar" , "1877-1970" , "Germany" , "Politik; Politics; Öffentliche Verwaltung; Public administration" , "Deutschland; Germany" , "588" ,
 "http://purl.org/pressemappe20/folder/pe/014942" , "Roosevelt, Franklin D." , "1882-1945" , "USA" , "Staatsoberhaupt; Head of state" , "USA; United States" , "585" ,
 "http://purl.org/pressemappe20/folder/pe/014942" , "Roosevelt, Franklin D." , "1882-1945" , "United States" , "Staatsoberhaupt; Head of state" , "USA; United States" , "585" ,
 "http://purl.org/pressemappe20/folder/pe/005897" , "Gaulle, Charles de" , "1890-1970" , "France" , "Staatsoberhaupt; Head of state; Militär; Military; Politik; Politics" , "Frankreich; France" , "552" ,
 "http://purl.org/pressemappe20/folder/pe/005897" , "Gaulle, Charles de" , "1890-1970" , "Frankreich" , "Staatsoberhaupt; Head of state; Militär; Military; Politik; Politics" , "Frankreich; France" , "552" ,
 "http://purl.org/pressemappe20/folder/pe/004447" , "Ebert, Friedrich" , "1871-1925" , "Deutschland" , "Politik; Politics; Staatsoberhaupt; Head of state" , "Deutschland; Germany" , "534" ,
 "http://purl.org/pressemappe20/folder/pe/004447" , "Ebert, Friedrich" , "1871-1925" , "Germany" , "Politik; Politics; Staatsoberhaupt; Head of state" , "Deutschland; Germany" , "534" ,
 "http://purl.org/pressemappe20/folder/pe/005823" , "Gandhi, Mohandas Karamchand" , "1869-1948" , "India" , "Politik; Politics" , "Indien; India" , "443" ,
 "http://purl.org/pressemappe20/folder/pe/005823" , "Gandhi, Mohandas Karamchand" , "1869-1948" , "Indien" , "Politik; Politics" , "Indien; India" , "443" ,
 "http://purl.org/pressemappe20/folder/pe/011242" , "Lenin, Vladimir I." , "1870-1924" , "Russia" , "Politik; Politics" , "Sowjetunion; USSR" , "432" ,
 "http://purl.org/pressemappe20/folder/pe/011242" , "Lenin, Vladimir I." , "1870-1924" , "Russland" , "Politik; Politics" , "Sowjetunion; USSR" , "432" ,
 "http://purl.org/pressemappe20/folder/pe/016952" , "Stalin, Iosif V." , "1879-1953" , "Georgia (Republic)" , "Staatsoberhaupt; Head of state" , "Sowjetunion; USSR" , "422" ,
 "http://purl.org/pressemappe20/folder/pe/016952" , "Stalin, Iosif V." , "1879-1953" , "Georgien" , "Staatsoberhaupt; Head of state" , "Sowjetunion; USSR" , "422" ,
 "http://purl.org/pressemappe20/folder/pe/012744" , "Mussolini, Benito" , "1883-1945" , "Italien" , "Politik; Politics; Staatsoberhaupt; Head of state" , "Italien; Italy" , "406" ,
 "http://purl.org/pressemappe20/folder/pe/012744" , "Mussolini, Benito" , "1883-1945" , "Italy" , "Politik; Politics; Staatsoberhaupt; Head of state" , "Italien; Italy" , "406" ,
